//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 41230000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
41230000;2;01/02/1938;;1;1;104;;;18;;1;0;0;;0;;;;;;;;;;;;;;;;;;104;81,5;73,9;71,4;69;66,6;77,7;66,6;65,4;65,4;59,4;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;;
41230000;2;01/03/1938;;1;1;156;52;65;25;14;1;1;1;;0;60,6;71,4;61,8;71,4;66,6;61,8;58,3;58,3;57,3;57,3;57,3;56,2;57,3;52;55,2;63;89,6;85,4;80,2;76,4;60,6;57,3;56,2;57,3;119;77,7;57,3;58,3;59,4;57,3;57,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
41230000;2;01/04/1938;;1;1;130;50,9;62;11;19;1;1;1;;0;56,2;56,2;56,2;54,1;86,8;73,9;57,3;61,8;61,8;61,8;117;65,4;59,4;57,3;57,3;55,2;58,3;55,2;50,9;57,3;57,3;65,4;84;57,3;57,3;56,2;56,2;56,2;55,2;55,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
41230000;2;01/05/1938;;1;1;98;50,9;56,2;21;2;1;1;1;;0;59,4;50,9;55,2;55,2;55,2;55,2;55,2;55,2;50,9;53;55,2;55,2;55,2;55,2;55,2;50,9;55,2;55,2;55,2;61,8;98;59,4;55,2;53;55,2;55,2;53;55,2;55,2;50,9;53;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
41230000;2;01/06/1938;;1;1;55,2;44;48,8;1;30;1;1;1;;0;55,2;55,2;53;55,2;53;50,9;52;50,9;50,9;49,9;49,9;47,8;46,9;48,8;49,9;47,8;47,8;47,8;46,9;45;46,9;45,9;46,9;46,9;46,9;45;45,9;45,9;45;44;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
41230000;2;01/07/1938;;1;1;46,9;39,3;44,2;2;25;1;1;1;;0;45,9;46,9;44;43,1;45,9;45;45,9;45,9;45;44;42,1;45;45;44;42,1;45;45;41,2;45;45;45;45;45;45;39,3;42,1;44;43,1;42,1;44;43,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
41230000;2;01/08/1938;;1;1;59,4;40,2;45,9;9;1;1;1;1;;0;40,2;43,1;43,1;44;44;44;44;45,9;59,4;49,9;45,9;48,8;50,9;49,9;45;45,9;45;45,9;45,9;46,9;46,9;45;45,9;46,9;45,9;45;44;44;41,2;45;45;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
41230000;2;01/09/1938;;1;1;55,2;39,3;45,6;7;5;1;1;1;;0;45;45;45;40,2;39,3;52;55,2;45,9;45,9;47,8;47,8;54,1;47,8;45,9;47,8;45,9;44;44;42,1;44;44;45,9;45,9;45,9;44;42,1;44;44;44;44;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
41230000;2;01/10/1938;;1;1;57,3;41,2;45,1;14;3;1;1;1;;0;42,1;42,1;41,2;42,1;45,9;50,9;45;44;42,1;42,1;42,1;44;42,1;56,2;47,8;45,9;43,1;49,9;45,9;46,9;46,9;44;42,1;49,9;45,9;53;44;44;42,1;42,1;42,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
41230000;2;01/11/1938;;1;1;95,2;40,2;48,4;11;7;1;1;1;;0;42,1;49,9;42,1;42,1;42,1;42,1;40,2;52;44;45,9;86,8;80,2;56,2;47,8;49,9;47,8;47,8;45,9;45,9;46,9;42,1;42,1;42,1;47,8;47,8;47,8;44;44;52;44;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
