//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 39890000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
39890000;2;01/01/1989;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;2,7505;2,9267;3,6886;5,7395;6,2592;4,7701;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;
39890000;2;01/02/1989;;1;1;3,8934;1,5439;2,1436;1;26;1;1;1;;0;3,8934;3,4895;3,2962;2,9267;2,58;2,58;2,4151;2,1023;2,2559;2,1023;2,1023;1,9543;1,9543;1,9543;1,8119;1,8119;1,6751;1,8119;1,8119;1,8119;1,8119;1,8119;1,6751;1,6751;1,6751;1,5439;1,6751;1,8119;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
39890000;2;01/03/1989;;1;1;28,1772;1,1834;3,4126;29;15;1;1;1;;0;2,1023;1,9543;1,8119;1,8119;1,6751;1,6751;1,8119;1,6751;1,6751;1,5439;1,4182;1,4182;1,2981;1,2981;1,1834;1,1834;1,1834;1,1834;1,4182;1,5439;1,8119;1,6751;1,8119;1,9543;1,8119;1,9543;2,2559;10,5569;28,1772;14,3424;8,5729;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39890000;2;01/04/1989;;1;1;56,4007;4,5422;14,941;12;17;1;1;1;;0;6,2592;7,0827;9,5381;6,2592;6,5278;20,1681;14,754;9,8718;19,2048;10,5569;41,7386;56,4007;23,7331;8,263;5,2431;5,0037;4,5422;7,3689;9,8718;7,9591;6,8023;5,9964;8,5729;20,1681;17,8057;18,7323;16,4614;15,1718;13,5371;44,6354;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39890000;2;01/05/1989;;1;1;117,9117;9,5381;43,1969;20;8;1;1;1;;0;46,8744;23,2053;20,1681;27,029;18,2659;15,5956;10,5569;9,5381;9,5381;12,3745;22,1684;41,7386;90,5094;83,2229;90,5094;82,2079;71,4687;51,5233;64,1474;117,9117;65,9392;78,2124;38,9425;28,7606;48,3987;36,2469;34,9368;29,946;24,807;21,156;23,2053;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39890000;2;01/06/1989;;1;1;79,2016;7,3689;24,7248;18;5;1;1;1;;0;24,2669;27,6;20,1681;12,3745;7,3689;11,266;10,9085;12,3745;17,3515;18,2659;12,756;16,0254;29,946;27,6;33,0184;22,6838;27,029;79,2016;61,5077;52,3203;29,3502;31,7707;29,3502;28,1772;22,1684;17,8057;15,5956;15,5956;14,754;13,1436;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39890000;2;01/07/1989;;1;1;;;;;;0;0;0;;0;38,9425;34,2911;49,9483;76,2534;111,8927;74,3202;187,1675;59,7798;99,2262;45,3754;38,2592;917,5161;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;
39890000;2;01/08/1989;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;16,5637;18,6786;23,2659;23,8726;20,9129;18,6786;19,7809;17,6062;22,0746;26,3728;25,108;28,99;42,2;27,6668;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
39890000;2;01/09/1989;;1;1;20,9129;7,8109;11,3246;1;15;1;1;1;;0;20,9129;18,6786;17,0812;15,5512;14,5689;13,6169;12,6953;11,8042;11,3701;10,525;8,9274;8,9274;8,1752;8,1752;7,8109;8,5474;8,5474;8,5474;8,5474;7,8109;19,226;12,6953;8,9274;8,9274;10,9437;8,9274;10,525;9,3152;10,114;9,3152;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39890000;2;01/10/1989;;1;1;10,525;4,3254;6,9579;21;14;1;1;1;;0;8,1752;8,1752;8,5474;8,5474;8,5474;8,1752;8,5474;7,4544;6,4321;6,4321;5,4811;4,8872;4,8872;4,3254;4,8872;4,8872;4,8872;4,6022;4,3254;4,3254;10,525;10,114;9,3152;8,9274;8,9274;8,1752;7,1057;6,4321;6,1071;6,4321;7,1057;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
